score,tier,verification_status,title,company,salary,location,remote/hybrid/on-site,estimated_hours,hours_confidence,acting_compatibility_score,film_relevance,accessibility,reason_to_apply,red_flags,date_posted,verification_timestamp,direct_application_url
61.2,STRETCH,UNCERTAIN,Associate Producer,Publicis Groupe,UNKNOWN,"225 Liberty St, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:31Z,https://jobs.smartrecruiters.com/PublicisGroupe/743999720742929-associate-producer
61.2,STRETCH,UNCERTAIN,Creative Producer,BARK,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:32Z,https://job-boards.greenhouse.io/bark/jobs/8092650
61.2,STRETCH,UNCERTAIN,Assistant to Producer,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:32Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000139329498-assistant-to-producer
61.0,STRETCH,UNCERTAIN,Forward Deployed Creative (US),Luma AI,UNKNOWN,New York / Los Angeles / San Francisco,On-site,40-48 h/wk,UNCERTAIN,17.5,medium,plausible,ai creative production; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:32Z,https://jobs.ashbyhq.com/lumaai/cb69274a-7161-44e5-abda-4a12cca6e057
60.9,STRETCH,UNCERTAIN,Film Unit Coordinator,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:32Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000138712720-film-unit-coordinator
60.5,STRETCH,UNCERTAIN,Reporter-researcher,The New York Times,UNKNOWN,"New York, NY",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:33Z,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4559610005
60.2,STRETCH,UNCERTAIN,Production Coordinator,Bustle Digital Group,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:33Z,https://jobs.lever.co/bustle/dd124d47-64e2-42e1-815a-871c1dac0c92
60.2,STRETCH,UNCERTAIN,Production Coordinator,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:33Z,https://jobs.smartrecruiters.com/NBCUniversal3/743999980567481-production-coordinator
60.2,STRETCH,UNCERTAIN,"Production Coordinator, Production Management",Conde Nast,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:33Z,https://condenast.wd5.myworkdayjobs.com/en-US/CondeCareers/job/Production-Coordinator--Production-Management_R-23354-2
60.2,STRETCH,UNCERTAIN,Production Coordinator - CAST,Publicis Groupe,UNKNOWN,"375 Hudson St, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:33Z,https://jobs.smartrecruiters.com/PublicisGroupe/743999774504717-production-coordinator-cast
60.2,STRETCH,UNCERTAIN,Production Coordinator,Versant,UNKNOWN,"Englewood Cliffs, NJ (NYC metro)",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:34Z,https://jobs.smartrecruiters.com/Versant3/744000125844631-production-coordinator
60.2,STRETCH,UNCERTAIN,"Production Coordinator, Versant Creative Production Marketing",NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:34Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000064829456-production-coordinator
60.2,STRETCH,UNCERTAIN,Marketing Post Production Coordinator,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:34Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000140969067-marketing-post-production-coordinator
60.0,STRETCH,UNCERTAIN,"Data Scientist (Contract, part-time)",Epoch AI,"$30,000 - $40,000",Remote,Remote,10-30 h/wk,KNOWN,30.0,none,plausible,freedom professional; acting-compat 30/30; workload 20/20; ~10-30 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:35Z,https://jobs.lever.co/epoch-ai/ab88ba6e-6a92-44cc-8830-a2dafca31f1a
59.7,STRETCH,UNCERTAIN,"Production Coordinator, Podcast Brand Studio (Temporary)",Vox Media,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,strong,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: strong,none detected,UNKNOWN,2026-09-06T13:56:35Z,https://job-boards.greenhouse.io/voxmedia/jobs/7842794
59.5,STRETCH,UNCERTAIN,Assistant,A24,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:35Z,https://job-boards.greenhouse.io/a24/jobs/7913758
58.2,STRETCH,UNCERTAIN,"Associate Producer, FNM Branded Content",Fox Corporation,UNKNOWN,"New York, NY",On-site,40-45 h/wk,UNCERTAIN,17.5,medium,plausible,content media; acting-compat 18/30; workload 9/20; ~40-45 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:36Z,https://fox.wd1.myworkdayjobs.com/en-US/Domestic/job/Associate-Producer--FNM-Branded-Content_R50032920
57.3,STRETCH,UNCERTAIN,AI Visual Content Producer,Newsweek,UNKNOWN,"New York, NY",On-site,40-45 h/wk,UNCERTAIN,17.5,medium,plausible,content media; acting-compat 18/30; workload 9/20; ~40-45 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:36Z,https://job-boards.greenhouse.io/newsweek/jobs/4587311006
57.2,STRETCH,UNCERTAIN,"Coordinator, Content Rights",AMC Networks,UNKNOWN,"New York, NY",On-site,40-45 h/wk,UNCERTAIN,17.5,medium,plausible,content media; acting-compat 18/30; workload 9/20; ~40-45 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:37Z,https://amcn.wd5.myworkdayjobs.com/en-US/amcnetworks/job/Coordinator--Content-Rights_R-4879
56.5,STRETCH,UNCERTAIN,"Coordinator, Media Planning Streaming and Digital",AMC Networks,UNKNOWN,"New York, NY",On-site,40-45 h/wk,UNCERTAIN,17.5,medium,plausible,content media; acting-compat 18/30; workload 9/20; ~40-45 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:37Z,https://amcn.wd5.myworkdayjobs.com/en-US/amcnetworks/job/New-York-NY/Coordinator-Media-Planning-Streaming-and-Digital_R-4942
55.2,STRETCH,UNCERTAIN,Production Coordinator (Temporary) - NYC,BaubleBar,UNKNOWN,"New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:37Z,https://job-boards.greenhouse.io/baublebar/jobs/7274929
50.7,RESEARCH ONLY,UNCERTAIN,"Sales Coordinator, International",A24,UNKNOWN,"New York, NY or Los Angeles, CA",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:37Z,https://boards.greenhouse.io/a24/jobs/2582460
48.7,RESEARCH ONLY,UNCERTAIN,Production Operations Coordinator,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,45-56 h/wk,UNCERTAIN,13.5,high,plausible,physical production; acting-compat 14/30; workload 2/20; ~45-56 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:38Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000141308153-production-operations-coordinator
47.7,RESEARCH ONLY,UNCERTAIN,Digital Distribution Business Account Coordinator,A24,"$23,000 - $25,000","New York, NY",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:38Z,https://boards.greenhouse.io/a24/jobs/5835093
43.7,RESEARCH ONLY,UNCERTAIN,Production Assistant,Dow Jones,UNKNOWN,"1211 Avenue of the Americas, New York, NY",On-site,45-56 h/wk,UNCERTAIN,13.5,high,plausible,physical production; acting-compat 14/30; workload 2/20; ~45-56 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:38Z,https://dowjones.wd1.myworkdayjobs.com/dow_jones_career/job/nyc---1211-ave-of-the-americas/production-assistant_job_req_43002
