employer,industry,careers_url,ats,why_relevant,last_checked,check_status,current_matching_jobs
Hello Monday,creative agency,UNRESOLVED,UNKNOWN,NYC creative/interactive,2026-09-06T13:43:06Z,blocked,0
Higgsfield,generative video company,UNRESOLVED,UNKNOWN,generative video,2026-09-06T13:43:06Z,blocked,0
Hornet,animation studio,UNRESOLVED,UNKNOWN,NYC animation,2026-09-06T13:43:06Z,blocked,0
Huge,creative agency,UNRESOLVED,UNKNOWN,Brooklyn; creative technology,2026-09-06T13:43:06Z,blocked,0
IFC Films,distributor,UNRESOLVED,UNKNOWN,NYC distributor/acquisitions,2026-09-06T13:43:06Z,blocked,0
Impossible Casting,casting company,UNRESOLVED,UNKNOWN,NYC casting,2026-09-06T13:43:06Z,blocked,0
Innovative Artists,talent agency,UNRESOLVED,UNKNOWN,NYC talent agency,2026-09-06T13:43:06Z,blocked,0
Instrument,creative agency,UNRESOLVED,UNKNOWN,digital/creative studio,2026-09-06T13:43:06Z,blocked,0
Ipsos,market research,UNRESOLVED,UNKNOWN,NYC; research associate,2026-09-06T13:43:06Z,blocked,0
Janus Films / The Criterion Collection,distributor,UNRESOLVED,UNKNOWN,"NYC; research, production, editorial",2026-09-06T13:43:06Z,blocked,0
Jigsaw Productions,documentary company,UNRESOLVED,UNKNOWN,NYC (Alex Gibney); research roles,2026-09-06T13:43:06Z,blocked,0
Johannes Leonardo,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
Kantar,market research,UNRESOLVED,UNKNOWN,NYC research,2026-09-06T13:43:06Z,blocked,0
Kino Lorber,distributor,UNRESOLVED,UNKNOWN,NYC distributor; archival/research,2026-09-06T13:43:06Z,blocked,0
MPC,vfx studio,UNRESOLVED,UNKNOWN,NYC/global VFX,2026-09-06T13:43:06Z,blocked,0
Magnolia Pictures,distributor,UNRESOLVED,UNKNOWN,NYC distributor,2026-09-06T13:43:06Z,blocked,0
Media.Monks,creative agency,UNRESOLVED,UNKNOWN,NYC; AI creative production,2026-09-06T13:43:06Z,blocked,0
Meridian Hill Pictures,documentary company,UNRESOLVED,UNKNOWN,docs; research,2026-09-06T13:43:06Z,blocked,0
Metrograph,cinema,UNRESOLVED,UNKNOWN,NYC cinema; programming,2026-09-06T13:43:06Z,blocked,0
Moonvalley,generative video company,UNRESOLVED,UNKNOWN,AI film studio,2026-09-06T13:43:06Z,blocked,0
Morning Consult,research organisation,UNRESOLVED,UNKNOWN,remote research,2026-09-06T13:43:06Z,blocked,0
Mother New York,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
Motto Pictures,documentary company,UNRESOLVED,UNKNOWN,NYC docs,2026-09-06T13:43:06Z,blocked,0
Museum of Modern Art,museum,UNRESOLVED,UNKNOWN,"NYC; film department roles, union schedule",2026-09-06T13:43:06Z,blocked,0
Museum of the Moving Image,museum,UNRESOLVED,UNKNOWN,NYC; programming/research,2026-09-06T13:43:06Z,blocked,0
Mux,media technology,UNRESOLVED,UNKNOWN,video infrastructure,2026-09-06T13:43:06Z,blocked,0
NORC at the University of Chicago,research organisation,UNRESOLVED,UNKNOWN,remote research roles,2026-09-06T13:43:06Z,blocked,0
NYC Mayor's Office of Media and Entertainment,government,UNRESOLVED,UNKNOWN,NYC film office; 35-hour week,2026-09-06T13:43:06Z,blocked,0
Neon,distributor,UNRESOLVED,UNKNOWN,NYC indie distributor; acquisitions,2026-09-06T13:43:06Z,blocked,0
New York Magazine / Vox Media,publisher,UNRESOLVED,UNKNOWN,NYC; editorial/research,2026-09-06T13:43:06Z,blocked,0
New York Public Library,library,UNRESOLVED,UNKNOWN,"NYC; research roles, 35-hour weeks",2026-09-06T13:43:06Z,blocked,0
Nielsen,media research,UNRESOLVED,UNKNOWN,media measurement research,2026-09-06T13:43:06Z,blocked,0
Nutopia,documentary company,UNRESOLVED,UNKNOWN,NYC/London docs; research,2026-09-06T13:43:06Z,blocked,0
Ogilvy,creative agency,UNRESOLVED,UNKNOWN,NYC agency; production/research,2026-09-06T13:43:06Z,blocked,0
Oscilloscope Laboratories,distributor,UNRESOLVED,UNKNOWN,NYC indie distributor,2026-09-06T13:43:06Z,blocked,0
Paramount,studio/streamer,UNRESOLVED,UNKNOWN,"NYC HQ; production, development, programming",2026-09-06T13:43:06Z,blocked,0
"Penske Media (Variety, Deadline, IndieWire, THR)",trade publisher,UNRESOLVED,UNKNOWN,NYC; entertainment research/editorial,2026-09-06T13:43:06Z,blocked,0
Pew Research Center,research organisation,UNRESOLVED,UNKNOWN,research associate roles; low-drain,2026-09-06T13:43:06Z,blocked,0
Phosphene,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX,2026-09-06T13:43:06Z,blocked,0
Pika,generative video company,UNRESOLVED,UNKNOWN,generative video,2026-09-06T13:43:06Z,blocked,0
Preymaker,vfx studio,UNRESOLVED,UNKNOWN,NYC virtual production/VFX,2026-09-06T13:43:06Z,blocked,0
Prolific,research platform,UNRESOLVED,UNKNOWN,research operations roles,2026-09-06T13:43:06Z,blocked,0
Psyop,animation studio,UNRESOLVED,UNKNOWN,NYC design/animation,2026-09-06T13:43:06Z,blocked,0
Puck,publisher,UNRESOLVED,UNKNOWN,NYC media; research,2026-09-06T13:43:06Z,blocked,0
R/GA,creative agency,UNRESOLVED,UNKNOWN,NYC; creative technology,2026-09-06T13:43:06Z,blocked,0
RAND Corporation,research organisation,UNRESOLVED,UNKNOWN,research assistant roles,2026-09-06T13:43:06Z,blocked,0
Range Media Partners,management company,UNRESOLVED,UNKNOWN,management; development,2026-09-06T13:43:06Z,blocked,0
Semafor,publisher,UNRESOLVED,UNKNOWN,NYC; research,2026-09-06T13:43:06Z,blocked,0
Shade VFX,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX,2026-09-06T13:43:06Z,blocked,0
Show of Force,documentary company,UNRESOLVED,UNKNOWN,NYC social-impact docs,2026-09-06T13:43:06Z,blocked,0
SiriusXM,audio media,UNRESOLVED,UNKNOWN,NYC HQ; content ops,2026-09-06T13:43:06Z,blocked,0
Sparks & Honey,cultural research,UNRESOLVED,UNKNOWN,NYC cultural research,2026-09-06T13:43:06Z,blocked,0
Story Syndicate,documentary company,UNRESOLVED,UNKNOWN,NYC docs; research + production,2026-09-06T13:43:06Z,blocked,0
Stylus,trend research,UNRESOLVED,UNKNOWN,trend research,2026-09-06T13:43:06Z,blocked,0
Telsey + Company,casting company,UNRESOLVED,UNKNOWN,NYC casting; assistant roles,2026-09-06T13:43:06Z,blocked,0
The Atlantic,publisher,UNRESOLVED,UNKNOWN,editorial/research,2026-09-06T13:43:06Z,blocked,0
The Future Laboratory,trend research,UNRESOLVED,UNKNOWN,trend research,2026-09-06T13:43:06Z,blocked,0
The Gersh Agency,talent agency,UNRESOLVED,UNKNOWN,NYC office,2026-09-06T13:43:06Z,blocked,0
The Mill,vfx studio,UNRESOLVED,UNKNOWN,NYC; production coordinators,2026-09-06T13:43:06Z,blocked,0
The Molecule,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX,2026-09-06T13:43:06Z,blocked,0
The Walt Disney Company,studio/streamer,UNRESOLVED,UNKNOWN,NYC ABC/ESPN/Hulu ops,2026-09-06T13:43:06Z,blocked,0
Titmouse,animation studio,UNRESOLVED,UNKNOWN,NYC animation; production coordination,2026-09-06T13:43:06Z,blocked,0
United Talent Agency,talent agency,UNRESOLVED,UNKNOWN,NYC office,2026-09-06T13:43:06Z,blocked,0
Untitled Entertainment,management company,UNRESOLVED,UNKNOWN,NYC/LA management,2026-09-06T13:43:06Z,blocked,0
Vimeo,media technology,UNRESOLVED,UNKNOWN,NYC HQ; creative/content roles,2026-09-06T13:43:06Z,blocked,0
WME,talent agency,UNRESOLVED,UNKNOWN,NYC office,2026-09-06T13:43:06Z,blocked,0
WNET / The WNET Group,public media,UNRESOLVED,UNKNOWN,"NYC public TV; production + research, low-drain",2026-09-06T13:43:06Z,blocked,0
WNYC / New York Public Radio,public media,UNRESOLVED,UNKNOWN,"NYC; research/production, union schedules",2026-09-06T13:43:06Z,blocked,0
Warner Bros. Discovery,studio/streamer,UNRESOLVED,UNKNOWN,large NYC footprint; production + content ops,2026-09-06T13:43:06Z,blocked,0
Wieden+Kennedy New York,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
Wistia,media technology,UNRESOLVED,UNKNOWN,video platform; remote-friendly,2026-09-06T13:43:06Z,blocked,0
Work & Co,creative agency,UNRESOLVED,UNKNOWN,Brooklyn product/design,2026-09-06T13:43:06Z,blocked,0
XTR,documentary company,UNRESOLVED,UNKNOWN,doc studio; development,2026-09-06T13:43:06Z,blocked,0
YouGov,market research,UNRESOLVED,UNKNOWN,NYC; research,2026-09-06T13:43:06Z,blocked,0
iHeartMedia,audio media,UNRESOLVED,UNKNOWN,NYC podcast/content,2026-09-06T13:43:06Z,blocked,0
